No.;Gene name;Oncogene or Tumor Suppresson gene
227;LGALS8;#N/A
228;STAU1;#N/A
229;PIK3R3;x
230;CCDC85B;#N/A
231;CUL3;x
232;MDFI;#N/A
233;HNRNPA1;#N/A
234;PPP1CC;#N/A
235;NFKB2;#N/A
236;CSNK2A2;#N/A
237;TBK1;#N/A
238;SMAD7;#N/A
239;DVL2;#N/A
240;HDAC6;#N/A
241;PML;x
242;MSH2;x
243;FLNC;#N/A
244;GRB7;x
245;BAX;#N/A
246;FYN;x
247;CAV1;#N/A
248;NFKBIA;x
249;CD70;x
250;VAPA;#N/A
251;TCF7L2;x
252;ABL1;x
253;ZNF292;x
254;ABCA4;#N/A
255;MAGEA3;#N/A
256;E2F1;#N/A
257;COPS5;#N/A
258;ARNT;#N/A
259;AREG;#N/A
260;WNT4;#N/A
261;HMGB1;#N/A
262;SOX9;x
263;RAC1;x
264;ABCD3;#N/A
265;CDK1;#N/A
266;ANXA3;#N/A
267;HRAS;x
268;TLE1;#N/A
269;CALCOCO2;#N/A
270;PDIA3;#N/A
271;ABCC8;#N/A
272;CEBPB;#N/A
273;MAPRE1;#N/A
274;HAP1;#N/A
275;NRAS;x
276;BCL2L1;#N/A
277;OGT;#N/A
278;NKX2-5;#N/A
279;TNFRSF10B;#N/A
280;FGFR1;x
281;DCC;#N/A
282;PDGFRB;x
283;RAB11B;#N/A
284;KCNN4;#N/A
285;MAF;#N/A
286;DVL1;#N/A
287;ADAMTS12;#N/A
288;SYNCRIP;#N/A
289;FOXK2;#N/A
290;VCP;#N/A
291;FBLN2;#N/A
292;TRADD;#N/A
293;BOC;#N/A
294;CUL5;#N/A
295;BOLL;#N/A
296;CUL1;#N/A
297;TRPM7;#N/A
298;DLK1;#N/A
299;SOS1;x
300;NUSAP1;#N/A
301;PRPF40A;#N/A
302;POSTN;#N/A
303;ATF6;#N/A
304;UBE2N;#N/A
305;TIMP1;#N/A
306;ITGB1;#N/A
307;ARAF;x
308;NCOR1;x
309;CRK;#N/A
310;BMPR2;#N/A
311;SFRP2;x
312;EWSR1;x
313;ABCG1;#N/A
314;ABCE1;#N/A
315;PEX19;#N/A
316;CNGB1;#N/A
317;MYD88;x
318;CDC42;x
319;NME2;#N/A
320;NKX2-1;x
321;SYNE1;#N/A
322;TNFSF13;x
323;FAS;x
324;FOXE1;#N/A
325;FOXL1;#N/A
326;PRKCB;x
327;EREG;#N/A
328;ALDH2;x
329;HSPA4;#N/A
330;CHD1;#N/A
331;ERCC2;x
332;TNFRSF11B;#N/A
333;TAFAZZIN;#N/A
334;TET2;x
335;RAE1;#N/A
336;TCF4;#N/A
337;C1orf43;#N/A
338;EYA4;#N/A
339;MMP9;#N/A
340;JUP;#N/A
341;TBX5;#N/A
342;CUL4A;x
343;PTGS2;#N/A
344;CSE1L;#N/A
345;RHOA;x
346;GNAI2;#N/A
347;IGBP1;#N/A
348;CDK4;x
349;DYNLL1;#N/A
350;ING4;#N/A
351;CDH5;#N/A
352;PIK3CB;x
353;EXO1;#N/A
354;YWHAH;#N/A
355;KEAP1;x
356;ARID1A;x
357;IQGAP1;x
358;TINF2;#N/A
359;JAK1;x
360;BMP4;#N/A
361;CASP3;#N/A
362;CA9;#N/A
363;SFRP4;#N/A
364;CHEK2;x
365;AP2M1;#N/A
366;SOD2;#N/A
367;LAMA1;#N/A
368;LY96;#N/A
369;HGS;#N/A
370;RAPGEF4;#N/A
371;RACGAP1;#N/A
372;BCL6;x
373;TNFRSF10A;#N/A
374;CD226;#N/A
375;MAGEA2;#N/A
376;DDB1;#N/A
377;CLTC;#N/A
378;NOTUM;#N/A
379;HTT;#N/A
380;ABCD2;#N/A
381;MKI67;x
382;GAB1;x
383;GPNMB;#N/A
384;NIFK;#N/A
385;GUCY1A2;#N/A
386;IFI16;#N/A
387;CD9;#N/A
388;TUBA1C;#N/A
389;KYNU;#N/A
390;SATB2;#N/A
391;ABCC2;#N/A
392;MAPK9;#N/A
393;MLH3;x
394;YEATS4;#N/A
395;TFAP2A;#N/A
396;NTNG1;#N/A
397;FOXB1;#N/A
398;MAP2K1;x
399;MSH4;#N/A
400;PRKD1;#N/A
401;ABCA6;#N/A
402;POLE;x
403;COL1A1;x
404;TNFAIP6;#N/A
405;EIF2S2;#N/A
406;RUNX1;x
407;SIN3A;#N/A
408;VAPB;#N/A
409;TGFBR2;x
410;KIF11;#N/A
411;FASLG;#N/A
412;PRKCE;#N/A
413;DLC1;#N/A
414;PTPN6;#N/A
415;CCDC22;#N/A
416;PIN1;#N/A
417;LGALS9;#N/A
418;DISC1;#N/A
419;TRAF1;#N/A
420;SCG5;x
421;RNF2;#N/A
422;PRKDC;x
423;MCM2;#N/A
424;SUN2;#N/A
425;NAMPT;#N/A
426;BAG6;#N/A
427;FLCN;x
428;GSTM1;#N/A
429;TK1;#N/A
430;TYRO3;#N/A
431;PTPRU;#N/A
432;GOPC;#N/A
433;FPGS;#N/A
434;PDZD3;#N/A
435;SORT1;#N/A
436;LRP6;x
437;CSNK1A1;#N/A
438;YWHAE;#N/A
439;BIRC2;#N/A
440;NRCAM;#N/A
441;IFNA2;#N/A
442;USP7;#N/A
443;NUFIP1;#N/A
444;CDC20;#N/A
445;MATR3;#N/A
446;TFRC;#N/A
447;ATP7B;#N/A
448;RNF43;x
449;ERBB3;x
450;SFN;#N/A
451;GUCY2C;#N/A
452;PIK3CD;x
453;GRIN2A;x
454;PES1;#N/A
455;XRCC3;#N/A
456;SOX2;x
457;SRSF3;#N/A
458;RBX1;#N/A
459;PRMT1;#N/A
460;ANAPC2;#N/A
461;NOP56;#N/A
462;INPPL1;x
463;STRAP;#N/A
464;NANP;#N/A
465;LRRK2;#N/A
466;ETS1;x
467;ANP32A;#N/A
468;EVL;#N/A
469;MEPCE;#N/A
470;RNF182;#N/A
471;MAP3K5;#N/A
472;CCND2;x
473;GGH;#N/A
474;SYNPO;#N/A
475;ODC1;#N/A
476;POLD2;#N/A
477;CSF2;#N/A
478;EBNA1BP2;#N/A
479;MCM6;#N/A
480;MTOR;x
481;DPYD;#N/A
482;JPH3;#N/A
483;HSP90B1;#N/A
484;NCOA1;#N/A
485;DBN1;#N/A
486;PTPRK;#N/A
487;LIMA1;#N/A
488;MTA1;#N/A
489;CASP1;#N/A
490;LMNA;x
491;GREM1;x
492;PSMC5;#N/A
493;XIAP;x
494;EZH2;x
495;TYMP;#N/A
496;SSB;#N/A
497;ATP6AP2;#N/A
498;COL7A1;#N/A
499;STUB1;#N/A
500;MAD2L1;#N/A
501;G3BP1;#N/A
502;UBA5;#N/A
503;MKLN1;#N/A
504;SLC4A8;#N/A
505;ZDHHC17;#N/A
506;HNRNPD;#N/A
507;GINS1;#N/A
508;CLU;#N/A
509;PTEN;x
510;CDK9;#N/A
511;UBE2C;#N/A
512;MYO1C;#N/A
513;CCNA2;#N/A
514;PTPRD;x
515;SOX17;x
516;H3C2;#N/A
517;MLST8;#N/A
518;ICAM5;#N/A
519;TNFRSF10C;#N/A
520;CCNB1;#N/A
521;SULT2B1;#N/A
522;KLF5;x
523;KIT;x
524;TGIF2;#N/A
525;EFEMP2;#N/A
526;MED12;x
527;MAP3K3;#N/A
528;SLC39A4;#N/A
529;TJP1;#N/A
530;PSMD4;#N/A
531;PRKCA;#N/A
532;SOX4;#N/A
533;KPNB1;#N/A
534;SELENBP1;#N/A
535;LIPF;#N/A
536;SGTB;#N/A
537;FBL;#N/A
538;RRM2;#N/A
539;NR4A2;#N/A
540;USP15;#N/A
541;HDAC11;#N/A
542;CHMP4B;#N/A
543;TBL3;#N/A
544;DCLK1;#N/A
545;LYPD3;#N/A
546;H4C13;#N/A
547;RELB;#N/A
548;COPS2;#N/A
549;STX12;#N/A
550;CST6;#N/A
551;TNFSF11;#N/A
552;BCLAF1;#N/A
553;BMPR1A;x
554;NFATC1;#N/A
555;AKR1B10;#N/A
556;PPP2CB;#N/A
557;KAT2B;#N/A
558;IGF1R;x
559;DDX52;#N/A
560;TSNAX;#N/A
561;ABCB6;#N/A
562;PDIA2;#N/A
563;MAP2K2;x
564;CD44;#N/A
565;CCND1;x
566;CD27;#N/A
567;CYP1A2;#N/A
568;HOXD9;#N/A
569;POLD3;#N/A
570;MAGEA6;#N/A
571;ASPSCR1;#N/A
572;SFXN1;#N/A
573;NR5A1;#N/A
574;XAF1;#N/A
575;ZSCAN20;#N/A
576;DSN1;#N/A
577;MACROD1;#N/A
578;RPS2;#N/A
579;CHD5;#N/A
580;PSMB4;#N/A
581;TNFRSF1B;#N/A
582;PAX8;x
583;EMC2;#N/A
584;MRPL4;#N/A
585;KDM2A;#N/A
586;ETV1;x
587;THBS1;#N/A
588;SESN2;x
589;RPL14;#N/A
590;XAB2;#N/A
591;DLG1;#N/A
592;HUWE1;#N/A
593;GALNT12;#N/A
594;ARID1B;x
595;TCF3;x
596;ABCG4;#N/A
597;ABCB10;#N/A
598;ABCC4;#N/A
599;VTI1A;#N/A
600;PMM2;#N/A
601;CD81;#N/A
602;FBN2;#N/A
603;PDGFRA;x
604;SLC19A1;#N/A
605;SMARCD1;#N/A
606;FOXS1;#N/A
607;ITCH;#N/A
608;CD109;#N/A
609;PTN;#N/A
610;PSMC3;#N/A
611;GSTM2;#N/A
612;TOLLIP;#N/A
613;KAT5;#N/A
614;FADS1;#N/A
615;SLC7A5;#N/A
616;MYO19;#N/A
617;MTHFR;#N/A
618;FAT1;x
619;UMPS;#N/A
620;TPI1;#N/A
621;NCOA3;x
622;CDC27;#N/A
623;VEGFA;x
624;MIPEP;#N/A
625;RHPN2;#N/A
626;CRKL;x
627;HNRNPK;#N/A
628;CCT3;#N/A
629;E4F1;#N/A
630;CD274;x
631;SKP2;#N/A
632;RPL10A;#N/A
633;TP73;#N/A
634;TUBB;#N/A
635;GPX4;#N/A
636;MCM10;#N/A
637;FOXM1;#N/A
638;FOXP3;#N/A
639;MTRR;#N/A
640;IPP;#N/A
641;CYP1B1;#N/A
642;CDC37;#N/A
643;NEDD8;#N/A
644;LIFR;#N/A
645;PGM1;#N/A
646;ZNF569;#N/A
647;ZKSCAN3;#N/A
648;FNIP1;#N/A
649;NXN;#N/A
650;ACAN;#N/A
651;NQO1;x
652;CABLES1;#N/A
653;HSPB1;#N/A
654;PABPC1;#N/A
655;TXNRD1;#N/A
656;PHETA1;#N/A
657;LGR4;#N/A
658;GRID1;#N/A
659;CYLD;x
660;TPX2;#N/A
661;BGN;#N/A
662;POU2F1;#N/A
663;DHFR;#N/A
664;HAPLN1;#N/A
665;RFC5;#N/A
666;UBE2D2;#N/A
667;RALA;#N/A
668;SNRNP27;#N/A
669;DACT1;#N/A
670;ITGA2;#N/A
671;RUNX2;#N/A
672;UBQLN4;#N/A
673;ABCG2;#N/A
674;RBL1;#N/A
675;LYN;x
676;RPA2;#N/A
677;SGTA;#N/A
678;HDAC4;x
679;ZMIZ1;#N/A
680;PAIP2;#N/A
681;PPM1E;#N/A
682;ABCA3;#N/A
683;MCM7;#N/A
684;KLF2;x
685;SPOUT1;#N/A
686;SH3TC1;#N/A
687;EPS15;#N/A
688;ZBTB16;#N/A
689;ANLN;#N/A
690;FGFR2;x
691;OTUD5;#N/A
692;NCAPH;#N/A
693;EIF2AK2;#N/A
694;PSMC1;#N/A
695;PPOX;#N/A
696;ZFP36L2;x
697;ABCB1;x
698;NUP153;#N/A
699;YTHDF1;#N/A
700;CBX4;#N/A
701;NT5C;#N/A
702;ITGAV;#N/A
703;MTNR1A;#N/A
704;UNG;#N/A
705;PSMD14;#N/A
706;XRCC6;#N/A
707;VTI1B;#N/A
708;TYMS;#N/A
709;EGF;#N/A
710;RAB5A;#N/A
711;NEDD1;#N/A
712;NCL;#N/A
713;CABYR;#N/A
714;SELENOP;#N/A
715;SIX1;#N/A
716;MRPS34;#N/A
717;PRMT6;#N/A
718;PPP1R14A;#N/A
719;FGB;#N/A
720;CUL4B;#N/A
721;RAB7A;#N/A
722;ABCB11;#N/A
723;ABCB4;#N/A
724;RPL6;#N/A
725;CTNNA1;x
726;PAFAH1B1;#N/A
727;RICTOR;x
728;PQBP1;#N/A
729;EPHA1;#N/A
730;GNB2;#N/A
731;GOLGA2;#N/A
732;MAP3K14;x
733;COL5A1;#N/A
734;LCN2;#N/A
735;PROM1;#N/A
736;TRIP6;#N/A
737;TBP;#N/A
738;SMARCC2;#N/A
739;CCT4;#N/A
740;SMAD1;#N/A
741;H1-1;#N/A
742;SYK;x
743;SIX2;#N/A
744;UBR5;x
745;OFD1;#N/A
746;BCAP31;#N/A
747;KAT2A;#N/A
748;CANX;#N/A
749;TAB2;#N/A
750;PSMA7;#N/A
751;PDS5A;#N/A
752;RBCK1;#N/A
753;FOXQ1;#N/A
754;TFG;#N/A
755;CCT6A;#N/A
756;TRAF3;x
757;CTBP2;#N/A
758;ZFP36;#N/A
759;TRIM33;#N/A
760;CDC16;#N/A
761;IL6;#N/A
762;FOXJ2;#N/A
763;CCT2;#N/A
764;FRS2;x
765;ABCG8;#N/A
766;ABCG5;#N/A
767;GNAI3;#N/A
768;SLC3A2;#N/A
769;SNRPB;#N/A
770;SNCA;#N/A
771;XRCC5;#N/A
772;ARMC6;#N/A
773;ERBB4;x
774;KRT18;#N/A
775;MRPL9;#N/A
776;IL11;#N/A
777;C1QBP;#N/A
778;CDH3;#N/A
779;DSC3;#N/A
780;GNAI1;#N/A
781;UBE3A;#N/A
782;NELFCD;#N/A
783;NCOR2;#N/A
784;PMAIP1;x
785;MYO18A;#N/A
786;COPS3;#N/A
787;NEDD4;#N/A
788;SPINT2;#N/A
789;CD1B;#N/A
790;WDR5;#N/A
791;CBX8;#N/A
792;CLASP2;#N/A
793;ZHX1;#N/A
794;CORO1B;#N/A
795;HDGF;#N/A
796;COL4A1;#N/A
797;CBX6;#N/A
798;SCARA3;#N/A
799;CSNK1E;#N/A
800;PROCR;#N/A
801;NONO;#N/A
802;PTGER3;#N/A
803;PRKAG1;#N/A
804;NRIP1;#N/A
805;RUVBL1;#N/A
806;PSMA1;#N/A
807;HLA-DPA1;#N/A
808;FBXW5;#N/A
809;SLC9A3R1;#N/A
810;ITGB2;#N/A
811;HMGA1;x
812;PLK4;#N/A
813;POLR2I;#N/A
814;TNPO1;#N/A
815;LIMS1;#N/A
816;DAXX;x
817;RPS8;#N/A
818;LYAR;#N/A
819;CFLAR;#N/A
820;ILF2;#N/A
821;ATAD3A;#N/A
822;FOXO1;x
823;LONP1;#N/A
824;SMARCA2;x
825;UBA52;#N/A
826;CXCL5;#N/A
827;ZNF24;#N/A
828;CHEK1;x
829;TIRAP;#N/A
830;KIF18A;#N/A
831;MEF2A;#N/A
832;UBQLN1;#N/A
833;LOX;#N/A
834;RIF1;#N/A
835;TIMM13;#N/A
836;IL1B;#N/A
837;ETV4;x
838;JAK3;x
839;ACTL6A;#N/A
840;IL1A;#N/A
841;DNMT1;x
842;TTI1;#N/A
843;USP11;#N/A
844;BCL2L11;x
845;KCTD20;#N/A
846;IL1R1;#N/A
847;PMS1;x
848;HCFC1;#N/A
849;SEC16A;#N/A
850;RSPO1;#N/A
851;BARD1;x
852;SUZ12;x
853;NCOA6;#N/A
854;PHB2;#N/A
855;TALDO1;#N/A
856;DVL3;#N/A
857;MAP7D2;#N/A
858;INSR;x
859;ZNF281;#N/A
860;NELFB;#N/A
861;CAND1;#N/A
862;NCLN;#N/A
863;TWIST1;#N/A
864;ATXN1;#N/A
865;DLG4;#N/A
866;CD46;#N/A
867;GMCL1;#N/A
868;PON2;#N/A
869;RHEBL1;#N/A
870;STK4;#N/A
871;CREB3;#N/A
872;MAP3K1;x
873;FGF2;x
874;SHARPIN;#N/A
875;PSME3;#N/A
876;FOXG1;#N/A
877;PSMB7;#N/A
878;DCSTAMP;#N/A
879;LTN1;#N/A
880;PLAUR;#N/A
881;BSG;#N/A
882;DPM1;#N/A
883;EXOSC4;#N/A
884;SMARCB1;x
885;SET;x
886;MRPL3;#N/A
887;RAB5C;#N/A
888;IRF3;#N/A
889;TP53RK;#N/A
890;PICK1;#N/A
891;PRKAB2;#N/A
892;MAGOH;#N/A
893;AGO3;#N/A
894;HLA-E;#N/A
895;CDC20B;#N/A
896;LATS1;x
897;ATR;x
898;STOM;#N/A
899;TUBG1;#N/A
900;ZWINT;#N/A
901;NRP1;#N/A
902;VTN;#N/A
903;PDZK1;#N/A
904;RPTOR;x
905;LMNB2;#N/A
906;LRRC46;#N/A
907;CWC22;#N/A
908;HNF4A;#N/A
909;RABGGTB;#N/A
910;OTUD4;#N/A
911;MED1;#N/A
912;DCN;#N/A
913;OS9;#N/A
914;INHBA;x
915;MYOD1;x
916;GNAQ;x
917;YBX1;#N/A
918;SSRP1;#N/A
919;LSM7;#N/A
920;UBL4A;#N/A
921;GNA13;x
922;AMER1;x
923;RPL28;#N/A
924;SFPQ;#N/A
925;EIF3B;#N/A
926;MPHOSPH10;#N/A
927;FAM189A2;#N/A
928;PRKACA;x
929;VPS72;#N/A
930;LOXL2;#N/A
931;PKN2;#N/A
932;USP33;#N/A
933;NCK2;#N/A
934;ANAPC1;#N/A
935;SUPT16H;#N/A
936;STRN;#N/A
937;PRKAR1B;#N/A
938;BCOR;x
939;LIN7C;#N/A
940;FBN1;#N/A
941;BAK1;#N/A
942;GTSE1;#N/A
943;SIAH1;#N/A
944;PUS1;#N/A
945;SUV39H2;#N/A
946;CSNK2B;#N/A
947;FGF8;x
948;NDUFS7;#N/A
949;H2BC1;#N/A
950;EIF4A3;#N/A
951;PPP2R2A;x
952;DACH1;#N/A
953;POLK;#N/A
954;RIMS2;#N/A
955;TNKS2;#N/A
956;RAN;#N/A
957;POLA1;#N/A
958;SPI1;#N/A
959;BRCA2;x
960;VAV1;x
961;MAX;x
962;CSF2RB;#N/A
963;CEBPA;x
964;ARHGEF12;x
965;EZR;#N/A
966;UBR4;#N/A
967;PSMC6;#N/A
968;PAK1;x
969;FOXO3;#N/A
970;MAPK10;#N/A
971;EFTUD2;#N/A
972;PCM1;#N/A
973;TMOD3;#N/A
974;PSEN1;#N/A
975;ZNF148;#N/A
976;CLDN6;#N/A
977;ATP6V0D1;#N/A
978;TFDP1;#N/A
979;ANTXR1;#N/A
980;FAF2;#N/A
981;CALML5;#N/A
982;WDR83;#N/A
983;SPAST;#N/A
984;FSTL1;x
985;NDUFS8;#N/A
986;BID;#N/A
987;CITED1;#N/A
988;DERL1;#N/A
989;AHR;#N/A
990;PAXIP1;#N/A
991;DDIT3;#N/A
992;AGO2;#N/A
993;SCAF11;#N/A
994;LEO1;#N/A
995;ILF3;#N/A
996;LCK;x
997;ACD;#N/A
998;AASDHPPT;#N/A
999;COPS6;#N/A
1000;HSPG2;#N/A
1001;PIK3C2A;#N/A
1002;BIRC3;x
1003;THOP1;#N/A
1004;RPAP2;#N/A
1005;RBBP7;#N/A
1006;ADH1C;#N/A
1007;SIK3;#N/A
1008;ARID4B;x
1009;IGFBP1;#N/A
1010;SCN2B;#N/A
1011;TOMM40;#N/A
1012;FGF1;x
1013;TMEM132A;#N/A
1014;ACVR2A;x
1015;FOXC1;#N/A
1016;CEP55;#N/A
1017;SCLT1;#N/A
1018;ZC3H3;#N/A
1019;CCNT1;#N/A
1020;PCNX3;#N/A
1021;MRPL50;#N/A
1022;PIKFYVE;#N/A
1023;CCR5;#N/A
1024;PDCD10;#N/A
1025;FOXA2;#N/A
1026;CDC73;x
1027;UBXN7;#N/A
1028;FGG;#N/A
1029;ZNF469;#N/A
1030;GSTM5;#N/A
1031;PPP4C;#N/A
1032;AKT2;x
1033;CHTF18;#N/A
1034;SYNE4;#N/A
1035;SUPT5H;#N/A
1036;NLRC4;#N/A
1037;PRPF6;#N/A
1038;ACTG1;x
1039;MRPL55;#N/A
1040;PAFAH1B3;#N/A
1041;GNB1;x
1042;PCMT1;#N/A
1043;RPRD1B;#N/A
1044;FZD6;#N/A
1045;CDK8;x
1046;SERPINH1;#N/A
1047;ZNHIT2;#N/A
1048;MOB1A;#N/A
1049;KRT8;#N/A
1050;MYO5A;x
1051;PSMA2;#N/A
1052;INHA;x
1053;SULF1;#N/A
1054;CUL2;#N/A
1055;ZFC3H1;#N/A
1056;IKBKE;x
1057;KRTAP4-12;#N/A
1058;RPS3;#N/A
1059;TRRAP;#N/A
1060;DICER1;x
1061;P4HA3;#N/A
1062;IFNA5;#N/A
1063;SMC6;#N/A
1064;EGR1;x
1065;PCNP;#N/A
1066;PPP2R1B;#N/A
1067;SGCA;#N/A
1068;PCBP1;#N/A
1069;PHIP;#N/A
1070;TUBA1B;#N/A
1071;CCDC88A;#N/A
1072;ZACN;#N/A
1073;GNB1L;#N/A
1074;WNT7B;#N/A
1075;FOXC2;#N/A
1076;SIRT2;#N/A
1077;SNAPC4;#N/A
1078;ETF1;#N/A
1079;PPM1A;#N/A
1080;USP20;#N/A
1081;PSG9;#N/A
1082;PRPF31;#N/A
1083;NUFIP2;#N/A
1084;RPA1;#N/A
1085;ATP13A2;#N/A
1086;TYK2;x
1087;DHX36;#N/A
1088;COL8A1;#N/A
1089;MMP14;#N/A
1090;FBXW7;x
1091;CDK11A;#N/A
1092;RBBP4;#N/A
1093;TNFSF13B;#N/A
1094;SMARCA5;#N/A
1095;PNKD;#N/A
1096;HDAC5;#N/A
1097;ARIH1;#N/A
1098;OCRL;#N/A
1099;MKKS;#N/A
1100;ESPL1;#N/A
1101;ACTR2;#N/A
1102;FGA;#N/A
1103;USP37;#N/A
1104;COPE;#N/A
1105;NDN;#N/A
1106;FGL1;#N/A
1107;CBX1;#N/A
1108;ELOC;#N/A
1109;CAD;x
1110;IL1RAP;#N/A
1111;CEACAM21;#N/A
1112;FZD1;#N/A
1113;RPAP3;#N/A
1114;LSM12;#N/A
1115;PPP1R12A;#N/A
1116;PDLIM7;#N/A
1117;GLP1R;#N/A
1118;NACC1;#N/A
1119;L3MBTL1;#N/A
1120;TOP2A;x
1121;AHCTF1;#N/A
1122;TAB1;#N/A
1123;RBBP5;#N/A
1124;HSPH1;#N/A
1125;MYO5C;#N/A
1126;GPR183;#N/A
1127;POLR2L;#N/A
1128;THBS2;#N/A
1129;MCC;#N/A
1130;TRIM54;#N/A
1131;TICRR;#N/A
1132;NPAT;#N/A
1133;A2M;#N/A
1134;SOCS3;x
1135;FOXP4;#N/A
1136;RANBP9;#N/A
1137;FKBP8;#N/A
1138;SCRIB;#N/A
1139;STK3;#N/A
1140;POLR2E;#N/A
1141;CHD8;#N/A
1142;ANAPC11;#N/A
1143;PSMB1;#N/A
1144;RUNX1T1;x
1145;USP1;x
1146;DDX5;x
1147;C12orf57;#N/A
