No.;Gene name;Oncogene or Tumor Suppresson gene
118;PRKDC;x
119;PPP1CC;#N/A
120;MAPK8;#N/A
121;PSMD2;#N/A
122;ERBB3;x
123;IQCB1;#N/A
124;RPL10A;#N/A
125;ABL1;x
126;CDKN1A;x
127;MYH9;#N/A
128;NRAS;x
129;CLTC;#N/A
130;NCL;#N/A
131;RASA1;x
132;PDPK1;#N/A
133;IRAK1;#N/A
134;THBS2;#N/A
135;PPP2R1A;x
136;EWSR1;x
137;PPP1CA;#N/A
138;BRF1;#N/A
139;TOP2A;x
140;KDM1A;#N/A
141;PACS2;#N/A
142;LMNB1;#N/A
143;YWHAG;#N/A
144;PPP1CB;#N/A
145;APEX1;#N/A
146;APP;#N/A
147;HIF1A;x
148;RNPS1;#N/A
149;NOTCH1;x
150;CDC42;x
151;ALDOC;#N/A
152;ILK;#N/A
153;HNRNPM;#N/A
154;VAV1;x
155;YWHAQ;#N/A
156;KIT;x
157;PLK1;#N/A
158;ENO1;#N/A
159;RFC4;#N/A
160;HSPA8;#N/A
161;LARP7;#N/A
162;FLNA;#N/A
163;SCAF1;#N/A
164;YWHAE;#N/A
165;RPSA;#N/A
166;PPP2CA;#N/A
167;MTOR;x
168;OTUB1;#N/A
169;PDGFRA;x
170;XRCC6;#N/A
171;NFKB1;#N/A
172;SMAD2;x
173;FOS;#N/A
174;IGF1R;x
175;PRR11;#N/A
176;KIF11;#N/A
177;RAC1;x
178;KEAP1;x
179;H3C2;#N/A
180;CREB1;x
181;XPO5;#N/A
182;EGF;#N/A
183;LATS1;x
184;BIRC5;#N/A
185;CSNK2A1;#N/A
186;EFTUD2;#N/A
187;GTSE1;#N/A
188;PTPN6;#N/A
189;EIF2AK2;#N/A
190;ATR;x
191;RRS1;#N/A
192;SRMS;#N/A
193;TRIM28;#N/A
194;PSKH2;#N/A
195;PAQR3;#N/A
196;RPL27A;#N/A
197;PRKCA;#N/A
198;ZNF239;#N/A
199;POT1;x
200;THEM4;#N/A
201;HHIPL2;#N/A
202;MCM6;#N/A
203;GAST;#N/A
204;SOX14;#N/A
205;SOX21;#N/A
206;CCNA2;#N/A
207;RACGAP1;#N/A
208;CSNK1E;#N/A
209;EIF2B5;#N/A
210;PSMC5;#N/A
211;CDH7;#N/A
212;CDH17;#N/A
213;STK11;x
214;FOXO3;#N/A
215;VHL;x
216;RUVBL2;#N/A
217;SMAD4;x
218;DVL2;#N/A
219;ARHGEF16;#N/A
220;CDH1;x
221;SOX1;#N/A
222;PTK7;#N/A
223;NDUFB3;#N/A
224;ERBB4;x
225;GOLM1;#N/A
226;MSH6;x
227;JUNB;#N/A
228;XDH;#N/A
229;RRM2;#N/A
230;MDFI;#N/A
231;ZNF676;#N/A
232;NELL1;#N/A
233;HAX1;#N/A
234;MATR3;#N/A
235;TAF1L;#N/A
236;FLT1;x
237;NTRK2;x
238;NPM3;#N/A
239;TXNDC2;#N/A
240;DDIT4L;#N/A
241;SNRPB;#N/A
242;TTN;#N/A
243;TTPAL;#N/A
244;SYNCRIP;#N/A
245;RPL13A;#N/A
246;RIF1;#N/A
247;SUCLG2;#N/A
248;TRIM33;#N/A
249;PPP3CA;#N/A
250;RPS3A;#N/A
251;RPS8;#N/A
252;ACTB;#N/A
253;HGS;#N/A
254;RRM1;#N/A
255;MAP3K3;#N/A
256;STAU2;#N/A
257;YWHAH;#N/A
258;KPNB1;#N/A
259;TOPBP1;#N/A
260;CDK9;#N/A
261;EIF2B1;x
262;BTRC;#N/A
263;MEPCE;#N/A
264;BCL2;x
265;MAP3K1;x
266;FBXW5;#N/A
267;FGA;#N/A
268;GOLT1B;#N/A
269;TTK;#N/A
270;TERF2IP;#N/A
271;MCM2;#N/A
272;NFKB2;#N/A
273;H4C13;#N/A
274;RHOA;x
275;UPRT;#N/A
276;LCK;x
277;SMARCC1;#N/A
278;KIF18B;#N/A
279;RPL14;#N/A
280;SEC16A;#N/A
281;VCP;#N/A
282;CENPA;#N/A
283;GOLGA2;#N/A
284;RPS3;#N/A
285;HELLS;#N/A
286;PIK3CB;x
287;NFKBIA;x
288;ABCB4;#N/A
289;FOXL1;#N/A
290;STAT1;#N/A
291;DYNLL1;#N/A
292;FOXB1;#N/A
293;NCAPH;#N/A
294;DNAJC11;#N/A
295;MSH2;x
296;CSNK2A2;#N/A
297;CFTR;#N/A
298;SPEN;x
299;FEN1;#N/A
300;AURKA;x
301;CRKL;x
302;CAPZA2;#N/A
303;XRCC3;#N/A
304;IRS1;x
305;CCNB1;#N/A
306;TUBG1;#N/A
307;PARP1;x
308;GAR1;#N/A
309;EIF2B4;#N/A
310;PPP2R1B;#N/A
311;HNRNPD;#N/A
312;HDGF;#N/A
313;MRPL12;#N/A
314;FASTK;#N/A
315;CCDC137;#N/A
316;BUB1;#N/A
317;CCND1;x
318;ZCCHC17;#N/A
319;MAGEA8;#N/A
320;AXIN1;x
321;BIRC6;#N/A
322;AKT2;x
323;ESPL1;#N/A
324;CUL1;#N/A
325;ATP5PD;#N/A
326;TCP1;#N/A
327;CDK6;x
328;RPS14;#N/A
329;EPHA7;x
330;SATB1;#N/A
331;SET;x
332;PABPC4;#N/A
333;CTBP1;#N/A
334;UCK2;#N/A
335;HDAC3;#N/A
336;ZWINT;#N/A
337;E2F1;#N/A
338;HDAC6;#N/A
339;RPL37A;#N/A
340;BAG6;#N/A
341;MAP3K7;x
342;CDCA5;#N/A
343;TBP;#N/A
344;CBX5;#N/A
345;STK4;#N/A
346;STK39;#N/A
347;HMGB2;#N/A
348;PLK2;#N/A
349;G3BP1;#N/A
350;TFG;#N/A
351;ITGB3;#N/A
352;EPHA4;#N/A
353;NIFK;#N/A
354;HSPE1;#N/A
355;PAK2;#N/A
356;CAV1;#N/A
357;CUL3;x
358;CSNK1A1;#N/A
359;IMPDH2;#N/A
360;LYN;x
361;HIF1AN;#N/A
362;ERN1;#N/A
363;EXOC6;#N/A
364;CDC20;#N/A
365;SLC4A7;#N/A
366;RFC5;#N/A
367;NPY;#N/A
368;CLSPN;#N/A
369;NEDD8;#N/A
370;TK1;#N/A
371;IRAK2;#N/A
372;MSH3;x
373;USP7;#N/A
374;PRMT1;#N/A
375;CCT4;#N/A
376;RPS6;#N/A
377;TOMM40;#N/A
378;BUB1B;x
379;ACTG1;x
380;TUBA1C;#N/A
381;PML;x
382;PRPF4;#N/A
383;CHMP4B;#N/A
384;CHEK1;x
385;KIF2C;#N/A
386;RBBP4;#N/A
387;HSD17B10;#N/A
388;ITGB1;#N/A
389;NEK1;#N/A
390;FGF2;x
391;PAK1;x
392;TINF2;#N/A
393;BZW2;#N/A
394;TMPO;#N/A
395;NR4A1;#N/A
396;NCK1;#N/A
397;SORT1;#N/A
398;ALK;x
399;SP1;#N/A
400;SMARCB1;x
401;NAA10;#N/A
402;COPS5;#N/A
403;APOBEC3B;#N/A
404;BAP1;x
405;RAN;#N/A
406;LATS2;x
407;LEO1;#N/A
408;ERCC1;x
409;TGFBR2;x
410;GNAI3;#N/A
411;NUP153;#N/A
412;MAGOH;#N/A
413;SQSTM1;x
414;SGK2;#N/A
415;MAPK9;#N/A
416;MYO1C;#N/A
417;HDAC11;#N/A
418;TNKS2;#N/A
419;PRMT5;#N/A
420;NTRK1;x
421;LDHA;#N/A
422;CDKN1B;x
423;RCL1;#N/A
424;ALDH18A1;#N/A
425;EZH2;x
426;VAPA;#N/A
427;PRKACA;x
428;PSMD4;#N/A
429;TAOK3;#N/A
430;EIF3E;#N/A
431;GLP1R;#N/A
432;RPL31;#N/A
433;RAD54L;#N/A
434;IPO5;#N/A
435;FRS2;x
436;RBPJ;#N/A
437;MYO18A;#N/A
438;USP32;#N/A
439;SKP2;#N/A
440;XPO1;x
441;JAK1;x
442;METTL1;#N/A
443;KCNQ2;#N/A
444;JUP;#N/A
445;LRRK2;#N/A
446;STUB1;#N/A
447;MAPKAPK2;#N/A
448;ULK1;#N/A
449;TNK2;#N/A
450;FASN;#N/A
451;DICER1;x
452;EPHA8;#N/A
453;CDH18;#N/A
454;ACSL4;#N/A
455;XPC;x
456;SFTPC;#N/A
457;CCT2;#N/A
458;ANXA5;#N/A
459;PRKD2;#N/A
460;SSRP1;#N/A
461;NCOR1;x
462;HSPD1;#N/A
463;EPHA5;#N/A
464;SUV39H1;#N/A
465;PSME3;#N/A
466;ANXA1;#N/A
467;IPO8;#N/A
468;ILF2;#N/A
469;GART;#N/A
470;GNB1;x
471;JAK3;x
472;PTEN;x
473;CA4;#N/A
474;MAP3K14;x
475;YES1;x
476;NCK2;#N/A
477;FGF5;x
478;OPN3;#N/A
479;SLC4A4;#N/A
480;PPAN;#N/A
481;REXO1;#N/A
482;NUSAP1;#N/A
483;ILF3;#N/A
484;CDCA8;#N/A
485;MYO19;#N/A
486;PPP2CB;#N/A
487;KSR2;x
488;SHMT2;#N/A
489;TBK1;#N/A
490;CCDC85B;#N/A
491;WNK1;#N/A
492;SP3;#N/A
493;EIF2AK1;#N/A
494;AHR;#N/A
495;LSM5;#N/A
496;NR3C1;#N/A
497;C1QBP;#N/A
498;NTRK3;x
499;TPX2;#N/A
500;HK2;#N/A
501;WAS;#N/A
502;NUDT21;#N/A
503;IPO4;#N/A
504;AURKC;#N/A
505;CDK1;#N/A
506;SLC19A1;#N/A
507;DMWD;#N/A
508;COPS6;#N/A
509;SFXN1;#N/A
510;RPS2;#N/A
511;FBXW11;#N/A
512;APOB;#N/A
513;BCAR1;#N/A
514;PSMC3;#N/A
515;AATK;#N/A
516;RPS15A;#N/A
517;FBXO5;#N/A
518;STAT5A;x
519;SYK;x
520;EFNA5;#N/A
521;PXN;#N/A
522;STK3;#N/A
523;RBBP7;#N/A
524;TIMM10;#N/A
525;FGG;#N/A
526;PSAT1;#N/A
527;RAD51;x
528;PSMB5;#N/A
529;FGL1;#N/A
530;LAGE3;#N/A
531;FGB;#N/A
532;CASP8;x
533;ANP32A;#N/A
534;MRPS5;#N/A
535;TNK1;#N/A
536;SLC39A4;#N/A
537;DBN1;#N/A
538;DDR2;x
539;IFI16;#N/A
540;ENO3;#N/A
541;DOT1L;x
542;UBR5;x
543;DGCR8;#N/A
544;PRKCZ;#N/A
545;DNM1L;#N/A
546;PCBD1;#N/A
547;NOP58;#N/A
548;LGALS8;#N/A
549;LTN1;#N/A
550;CDC73;x
551;CPSF3;#N/A
552;PIKFYVE;#N/A
553;MAD2L1;#N/A
554;NUFIP1;#N/A
555;YEATS4;#N/A
556;PDIA3;#N/A
557;USP34;#N/A
558;TXNDC15;#N/A
559;F2;#N/A
560;TYMS;#N/A
561;KIF4A;#N/A
562;LGALS3;#N/A
563;HOXB7;#N/A
564;TTF1;#N/A
565;CSRP3;#N/A
566;USP11;#N/A
567;CCNE1;x
568;INSRR;#N/A
569;H2BC1;#N/A
570;EFNA4;#N/A
571;KLF5;x
572;EFNA3;#N/A
573;PSMC1;#N/A
574;WDR5;#N/A
575;AHCY;#N/A
576;PRKCD;#N/A
577;MAGEA4;#N/A
578;ALOX12B;x
579;POLR1D;#N/A
580;AGO3;#N/A
581;RPL18A;#N/A
582;NCAPG;#N/A
583;MS4A1;#N/A
584;VTN;#N/A
585;PRC1;#N/A
586;SRR;#N/A
587;ERLIN2;#N/A
588;EML4;#N/A
589;MAP3K5;#N/A
590;ARG1;#N/A
591;DDX19B;#N/A
592;TNFRSF1A;#N/A
593;SIN3A;#N/A
594;VEGFA;x
595;HMGA1;x
596;TNFSF10;#N/A
597;NRG1;x
598;CD164L2;#N/A
599;ARHGAP35;x
600;CUL4A;x
601;ZDHHC17;#N/A
602;GDPD1;#N/A
603;EREG;#N/A
604;ZACN;#N/A
605;LIMA1;#N/A
606;FKBP5;#N/A
607;ANAPC1;#N/A
608;CENPO;#N/A
609;GNG11;#N/A
610;BARD1;x
611;FOXK2;#N/A
612;ZNF146;#N/A
613;MYCBP2;#N/A
614;CBX8;#N/A
615;EIF4A3;#N/A
616;USP37;#N/A
617;PSMB4;#N/A
618;EPHA2;#N/A
619;ENO2;#N/A
620;RPL36A;#N/A
621;PSTPIP1;#N/A
622;ACTL6A;#N/A
623;INCENP;#N/A
624;DDX5;x
625;STRBP;#N/A
626;HK1;#N/A
627;RPS6KA6;#N/A
628;POLR2G;#N/A
629;KAT5;#N/A
630;RUVBL1;#N/A
631;HJURP;#N/A
632;SYNPO;#N/A
633;BCL2L1;#N/A
634;DAXX;x
635;SUPT5H;#N/A
636;PRKAB2;#N/A
637;PHB;#N/A
638;NUP107;#N/A
639;PTK2B;#N/A
640;SMARCA4;x
641;PRKAA1;#N/A
642;SOD2;#N/A
643;MOS;#N/A
644;RPS13;#N/A
645;CHD4;x
646;RPS5;#N/A
647;MYO18B;#N/A
648;MAPRE1;#N/A
649;RANGRF;#N/A
650;MCM7;#N/A
651;RPS6KC1;#N/A
652;CAMK2A;#N/A
653;OFD1;#N/A
654;GNB2;#N/A
655;SCYL2;#N/A
656;NDUFA8;#N/A
657;RET;x
658;PSMD14;#N/A
659;CCT6A;#N/A
660;AURKB;x
661;HNRNPK;#N/A
662;CANX;#N/A
663;ATXN1;#N/A
664;PIGN;#N/A
665;CLPTM1L;#N/A
666;SRM;#N/A
667;OGG1;#N/A
668;FOXQ1;#N/A
669;SLK;#N/A
670;MME;#N/A
671;THBS1;#N/A
672;BRIX1;#N/A
673;GRWD1;#N/A
674;TARDBP;#N/A
675;CUL4B;#N/A
676;PIK3CD;x
677;LYPD3;#N/A
678;ERP29;#N/A
679;SHMT1;#N/A
680;TAOK1;#N/A
681;SIRT1;#N/A
682;CAPG;#N/A
683;STRN;#N/A
684;MELK;#N/A
685;TAB1;#N/A
686;TERF2;#N/A
687;MAPK11;#N/A
688;TRIM6;#N/A
689;LBP;#N/A
690;PDZK1;#N/A
691;CDKN2B;x
692;PPP2R5D;#N/A
693;SOS2;#N/A
694;ANLN;#N/A
695;TIMM9;#N/A
696;CUL5;#N/A
697;NCSTN;x
698;KAT2B;#N/A
699;ZAP70;#N/A
700;TUBB;#N/A
701;TMUB1;#N/A
702;PSMD3;#N/A
703;RPS11;#N/A
704;MAP3K15;#N/A
705;CKAP2;#N/A
706;MCM10;#N/A
707;GTF2F2;#N/A
708;RXRA;#N/A
709;PSMC6;#N/A
710;USF1;#N/A
711;BAD;#N/A
712;UBE2D3;#N/A
713;DDB1;#N/A
714;DLGAP5;#N/A
715;TGFBR1;x
716;C8G;#N/A
717;EIF4EBP1;#N/A
718;KIF20A;#N/A
719;ZNF93;#N/A
720;NME1;#N/A
721;KIF14;#N/A
722;CCT3;#N/A
723;GOT1;#N/A
724;MRPL9;#N/A
725;NUFIP2;#N/A
726;AQP4;#N/A
727;ROS1;x
728;UBXN7;#N/A
729;KIF23;#N/A
730;CASP3;#N/A
731;YAP1;x
732;FANCI;#N/A
733;MCM4;#N/A
734;SNRPD3;#N/A
735;IRS4;#N/A
736;C16orf74;#N/A
737;CBX3;#N/A
738;TNF;#N/A
739;KRT5;#N/A
740;PHC3;#N/A
741;MARK2;#N/A
742;CDC27;#N/A
743;MMP9;#N/A
744;CACNA1I;#N/A
745;BRCA2;x
746;NEDD1;#N/A
747;TAF6;#N/A
748;CUL2;#N/A
749;SGTA;#N/A
750;RBX1;#N/A
751;UNC119;#N/A
752;CBX1;#N/A
753;ETV4;x
754;XIAP;x
755;RAE1;#N/A
756;GNA13;x
757;SKA3;#N/A
758;KDELR2;#N/A
759;CTNNA1;x
760;PCSK1;#N/A
761;POU3F2;x
762;NOP2;#N/A
763;SMYD5;#N/A
764;ARID2;x
765;C1orf131;#N/A
766;MKLN1;#N/A
767;YBX1;#N/A
768;HDAC4;x
769;PSMA2;#N/A
770;PTN;#N/A
771;PICK1;#N/A
772;PTPN1;x
773;INPPL1;x
774;SNAP29;#N/A
775;MMS22L;#N/A
776;CDH6;#N/A
777;U2AF2;#N/A
778;VIM;#N/A
779;FOXM1;#N/A
780;RPL27;#N/A
781;BCL6;x
782;FOXL2;x
783;PRKACB;#N/A
784;TPR;#N/A
785;SNRNP70;#N/A
786;HMGB1;#N/A
787;FASLG;#N/A
788;MTNR1A;#N/A
789;DDX56;#N/A
790;SRPK2;#N/A
791;CAPZA1;#N/A
792;BAX;#N/A
793;CEP350;#N/A
794;HNRNPH2;#N/A
795;UBE2M;#N/A
796;RALY;#N/A
797;PGAM5;#N/A
798;MMP2;#N/A
799;SPINT2;#N/A
800;SMC2;#N/A
801;RPS7;#N/A
802;PBRM1;x
803;RBPMS;#N/A
804;ADRB2;#N/A
805;RPL6;#N/A
806;CIP2A;#N/A
807;RPL13;#N/A
808;CDC25A;#N/A
809;LAD1;#N/A
810;RPL26;#N/A
811;PRPF31;#N/A
812;TRAF1;#N/A
813;PLK4;#N/A
814;IER2;#N/A
815;H1-1;#N/A
816;CAND1;#N/A
817;CTNND1;#N/A
818;TEK;#N/A
819;LNPEP;#N/A
820;ZC3H3;#N/A
821;CDC25C;#N/A
822;ITIH1;#N/A
823;RARA;#N/A
824;DNMT1;x
825;PSMC2;#N/A
826;THEG;#N/A
827;BUB3;#N/A
828;TMEM79;#N/A
829;RABGGTB;#N/A
830;HRG;#N/A
831;SART3;#N/A
832;NDC80;#N/A
833;PCM1;#N/A
834;PRPF40A;#N/A
835;NFATC1;#N/A
836;HDGFL2;#N/A
837;RPL29;#N/A
838;SIK2;#N/A
839;CD81;#N/A
840;PPIA;#N/A
841;NPAT;#N/A
842;MPRIP;#N/A
843;PRCC;x
844;BCLAF1;#N/A
845;BSG;#N/A
846;KSR1;#N/A
847;SOD1;#N/A
848;CREB3L3;#N/A
849;AFP;#N/A
850;UBE2N;#N/A
851;TSC2;x
852;RAB7A;#N/A
853;PSEN1;#N/A
854;RNASEH2A;x
855;RC3H1;#N/A
856;MRPS7;#N/A
857;MAPK10;#N/A
858;CAV2;#N/A
859;NDRG1;#N/A
860;PSMA3;#N/A
861;RPS27A;#N/A
862;MARCHF7;#N/A
863;PRKAA2;#N/A
864;RPL8;#N/A
865;GNB4;#N/A
866;GPN1;#N/A
867;MAP3K2;#N/A
868;RPA2;#N/A
869;PDAP1;#N/A
870;HNRNPA2B1;#N/A
871;RPL30;#N/A
872;RPL36;#N/A
873;TFR2;#N/A
874;NDUFA9;#N/A
875;STOM;#N/A
876;USP14;#N/A
877;RAP1B;#N/A
878;CSNK2B;#N/A
879;POLR2B;#N/A
880;RICTOR;x
881;RPL18;#N/A
882;ASCL1;#N/A
883;BLM;x
884;RPS17;#N/A
885;ATRX;x
886;MRPL51;#N/A
887;NCOA1;#N/A
888;FAF2;#N/A
889;CRH;#N/A
890;XRN1;#N/A
891;CDH5;#N/A
892;ANTXR1;#N/A
893;FER;#N/A
894;NDUFA11;#N/A
895;SGTB;#N/A
896;HOXC9;#N/A
897;FOXE1;#N/A
898;ABI1;#N/A
899;ASGR2;#N/A
900;EPS15;#N/A
901;PIK3C2A;#N/A
902;AHSG;#N/A
903;POU2F1;#N/A
904;CHRNA9;#N/A
905;KHSRP;#N/A
906;TUBA1A;#N/A
907;PRKCB;x
908;PSMD12;#N/A
909;COL5A1;#N/A
910;SETX;#N/A
911;HOXB6;#N/A
912;MRPL50;#N/A
913;SPAG5;#N/A
914;WDR48;#N/A
915;USP45;#N/A
916;FXR2;#N/A
917;RPS6KB1;#N/A
918;RANBP2;x
919;RPL35;#N/A
920;WIPI2;#N/A
921;COL1A1;x
922;ELOC;#N/A
923;PSMD11;#N/A
924;IFIT1;#N/A
925;CTR9;x
926;INHBA;x
927;TNFSF13B;#N/A
928;MRPL4;#N/A
929;STAT5B;x
930;UBE3A;#N/A
931;TRIP13;x
932;RPL39;#N/A
933;TMEM132A;#N/A
934;NEDD4;#N/A
935;PPAT;#N/A
936;ARPC3;#N/A
937;HSPA4;#N/A
938;DLG4;#N/A
939;NUF2;x
940;AGTR1;#N/A
941;TCF4;#N/A
942;ZNF7;#N/A
943;CAMK2D;#N/A
944;PLCG2;x
945;NOL11;#N/A
946;EMC2;#N/A
947;EMD;#N/A
948;AKAP11;#N/A
949;TAFAZZIN;#N/A
950;DCAF7;#N/A
951;TNFRSF1B;#N/A
952;HOXC10;#N/A
953;CDK8;x
954;RPS4X;#N/A
955;MAGED1;#N/A
956;TIMELESS;#N/A
957;HUWE1;#N/A
958;EFNB2;#N/A
959;TSC22D4;#N/A
960;AHCTF1;#N/A
961;NEK2;#N/A
962;LRP1;#N/A
963;SHC2;#N/A
964;USP19;#N/A
965;EBNA1BP2;#N/A
966;VPS72;#N/A
967;PTGER3;#N/A
968;NUP205;#N/A
969;CENPE;#N/A
970;TUBA4A;#N/A
971;CSK;#N/A
972;OSBPL8;#N/A
973;PRMT6;#N/A
974;ZNF250;#N/A
975;HTR3D;#N/A
976;SEH1L;#N/A
977;SNRPF;#N/A
978;USP20;#N/A
979;AKAP9;#N/A
980;FOXA3;#N/A
981;PPARG;x
982;CHAF1A;#N/A
983;CLDN1;#N/A
984;CCDC91;#N/A
985;RPLP0;#N/A
986;MLF2;#N/A
987;DSCC1;#N/A
988;LEMD3;#N/A
989;PKM;#N/A
990;OTUD4;#N/A
991;RNF126;#N/A
992;PRPF8;x
993;HERC2;#N/A
994;KBTBD7;#N/A
995;BPTF;#N/A
996;ORC1;#N/A
997;FHL2;#N/A
998;VEZT;#N/A
999;PSMA1;#N/A
1000;PTPRK;#N/A
1001;PIN1;#N/A
1002;CCNT1;#N/A
1003;MARK3;#N/A
1004;BANF1;#N/A
1005;WDFY3;#N/A
1006;CTBP2;#N/A
1007;SUV39H2;#N/A
1008;SMN1;#N/A
1009;SMC1A;x
1010;MGA;x
1011;FOXO1;x
1012;SETD2;x
1013;KRT16;#N/A
1014;NCOR2;#N/A
1015;FLT4;x
1016;CREB3;#N/A
1017;DISC1;#N/A
1018;PSMB3;#N/A
1019;TTBK2;#N/A
1020;PJA2;#N/A
1021;TFDP1;#N/A
1022;PAX6;#N/A
1023;PHB2;#N/A
1024;CHD3;#N/A
1025;STT3A;#N/A
1026;DLG1;#N/A
1027;TLK1;#N/A
1028;ATP13A2;#N/A
1029;WDR83;#N/A
1030;RIPK1;#N/A
1031;UBL5;#N/A
1032;MTX1;#N/A
1033;MYBL1;x
1034;PNKD;#N/A
1035;RPL24;#N/A
1036;FANCD2;x
1037;DMXL1;#N/A
1038;CDK5;#N/A
1039;RPAP2;#N/A
1040;RPL12;#N/A
1041;CD3E;#N/A
1042;UBE2D2;#N/A
1043;PKMYT1;#N/A
1044;HLA-DPA1;#N/A
1045;USP15;#N/A
1046;SYNE4;#N/A
1047;VAPB;#N/A
1048;ACD;#N/A
1049;TELO2;#N/A
1050;PRB3;#N/A
1051;A2ML1;#N/A
1052;NBEAL1;#N/A
1053;SMC6;#N/A
1054;APOA4;#N/A
1055;RNF2;#N/A
1056;TDGF1;#N/A
1057;CEND1;#N/A
1058;PSMD10;#N/A
1059;NSUN2;#N/A
1060;EXOSC4;#N/A
1061;ANKS6;#N/A
1062;CD2BP2;#N/A
1063;RPS19;#N/A
1064;RIPK3;#N/A
1065;FABP1;#N/A
1066;SNCA;#N/A
1067;MKI67;x
1068;ABCF3;#N/A
1069;SRPK3;#N/A
1070;ITCH;#N/A
1071;SPI1;#N/A
1072;NCBP1;#N/A
1073;PTK6;#N/A
1074;CP;#N/A
1075;LSM7;#N/A
1076;TRA2A;#N/A
1077;FKBP4;#N/A
1078;VCL;#N/A
1079;PPP1R12A;#N/A
1080;CCT7;#N/A
1081;PON2;#N/A
1082;OGT;#N/A
1083;BCR;x
1084;SCRIB;#N/A
1085;PC;#N/A
1086;ASPM;#N/A
1087;DVL3;#N/A
1088;MRPL47;#N/A
1089;BMPR2;#N/A
1090;SETDB1;x
1091;VPS13B;#N/A
1092;SF3A2;#N/A
1093;THAP7;#N/A
1094;CDC16;#N/A
1095;RPL37;#N/A
1096;TRIM27;x
1097;PSMB7;#N/A
1098;SCAF11;#N/A
1099;TNRC6B;#N/A
1100;H1-2;#N/A
1101;MAP2K7;#N/A
1102;LRP6;x
1103;PEX19;#N/A
1104;ZFP36;#N/A
1105;IKZF1;#N/A
1106;REL;x
1107;RPL15;#N/A
1108;FBXO11;x
1109;IKBKE;x
1110;FGD6;#N/A
1111;DYRK2;#N/A
1112;RBL1;#N/A
1113;PSMB1;#N/A
1114;PSMD13;#N/A
1115;CENPC;#N/A
1116;HSPA9;#N/A
1117;DTNBP1;#N/A
1118;CENPF;#N/A
1119;PSMA6;#N/A
1120;PRSS3;#N/A
1121;TERT;x
1122;GNAI2;#N/A
1123;HSP90B1;#N/A
1124;EZR;#N/A
1125;KRTAP4-12;#N/A
1126;NEB;#N/A
1127;DNAAF2;#N/A
1128;ZNF148;#N/A
1129;ISG15;#N/A
1130;ANAPC11;#N/A
1131;SCN2B;#N/A
1132;SHPRH;#N/A
1133;STX12;#N/A
1134;TGFA;#N/A
1135;FOXG1;#N/A
1136;HCK;#N/A
1137;RPS29;#N/A
1138;SLC7A5;#N/A
1139;TNC;#N/A
1140;NUMA1;#N/A
1141;URI1;#N/A
1142;RPL5;x
1143;MARK1;#N/A
1144;ATP6AP2;#N/A
1145;CDK11A;#N/A
1146;CDT1;#N/A
1147;DHX36;#N/A
1148;GINS1;#N/A
1149;TARS1;#N/A
